Experiment: prion_toggle_J_expt_20190430 vial 6, Tue Apr 30 14:41:53 2019
0,0
12.7717,5.931015910545089
13.3272,6.2126139891520555
14.3821,5.920363602666184
15.8123,5.9325283307672185
17.0933,5.914275003174517
19.2759,7.936749575621345
20.7148,5.946205601193418
21.1762,5.929488786209622
22.4148,5.911228579822988
23.9377,5.906651744460376
25.2648,5.921874715447338
26.5847,5.994708513035444
27.8514,5.958338401132857
29.0902,5.967431230189141
30.9156,5.902055381011905
33.8014,5.926391997906928
33.9292,8.14563175191443
34.818,6.020405986919777
36.2897,5.953805031583011
40.1324,5.909704957352516
41.8593,5.921743246888036
43.5332,5.961338208632255
44.1832,8.561857426764586
44.2349,5.568083838752822
45.4784,5.952254181719413
47.0166,5.915756841639749
48.6222,5.92185625539141
50.7326,5.988172134282173
53.9271,5.9629095995534565
55.5011,6.014366119497568
57.116,5.912751285621207
57.1673,6.2061439291281895
59.3094,6.58614239314787
61.3398,5.93556069484144
63.0955,6.127098977704965
63.3231,7.476572964485028
63.3763,7.596712571877803
65.9113,5.953801513394528
67.4568,5.979155474721349
69.6104,6.6890587859803645
69.6606,7.592867808196155
70.4817,5.992197452692918
72.0948,5.968716863797938
76.7121,5.9157973223225
78.416,5.909685666992747
79.0439,8.408546664898465
79.0956,6.84974980099021
79.7983,5.950768637684366
81.6161,6.734099776995246
82.8899,5.9551917101662335
84.7384,6.222483078631012
85.9494,5.909702546064972
87.255,5.914275003174517
88.6873,5.967446557566893
88.7374,6.171918697673799
90.0179,5.908120285199048
91.5595,5.9324632405224
91.6122,6.303843183979347
93.0795,6.262193369366215
94.0661,5.9476536981131725
95.9711,6.271338334271417
96.0235,6.909526268612217
97.59,6.12405796779479
98.6845,5.9825887521031955
99.3164,5.911228579822988
100.6484,5.908176559018172
100.6984,5.869967704542548
101.9123,5.905128585593863
103.204,5.911203506854786
103.2541,5.8898268186776574
103.3041,6.11661564148076
103.357,6.305270654902163
104.6291,5.917320652878518
105.8961,5.97195587117247
107.068,5.905132445746191
108.3057,5.949252752245621
109.5207,5.950754239918091
110.7497,5.914263435208542
111.9708,5.96136457152329
113.1957,5.926449754819121
114.3429,5.981094497678639
115.5885,5.909701099288672
116.8053,5.917291422102378
117.9664,5.908176559018172
119.1236,5.952094233229457
120.299,5.908147618244274
121.4595,5.9279703692502235
122.7408,5.997733791766088
122.7942,6.243252003317048
123.9263,5.934047694063234
125.1386,5.909579086965705
126.2575,5.921846624046641
127.4558,5.9475759212515955
128.6583,5.967461086610502
129.7709,6.020405986919777
131.007,5.9674618849168475
132.1542,5.938604149074452
133.2569,5.932233977785411
134.3762,5.924912018607304
135.5819,5.9157900936470025
136.7597,5.903581987845395
137.8683,5.943033419940162
138.9999,5.934057311545413
140.171,5.918802119417649
141.3406,5.908160159257682
