Experiment: prion_toggle_I_expt_20190430 vial 15, Tue Apr 30 14:40:22 2019
0,0
8.0745,6.3198028595233104
8.9782,6.264285234862222
9.8701,6.241314721225752
10.7462,6.241326740173569
11.6139,6.224939167328126
12.4121,6.231322699349067
13.2806,6.413394441200773
14.1638,6.243129601041284
15.0639,6.27083225290834
15.9741,6.381537143213019
16.8616,6.290469077361513
17.7639,6.380500588356612
18.7309,6.224801481883463
19.6186,6.234737271456307
20.4813,6.300156918027927
21.4251,6.316239776801947
22.2973,6.2675033998911225
23.2084,6.244588530509079
24.1196,6.2937218216089805
25.0631,6.296813124633383
25.9957,6.3556089982291954
26.7679,6.468721950805718
27.8735,6.3262931988099504
27.9242,6.794777224144685
28.837,6.250665722719194
29.7624,6.387264362739406
29.8141,6.67602689425707
30.7521,6.224860859108404
31.679,6.384821709442794
31.7357,6.666439438931781
32.6505,6.316239776801947
32.7014,6.622184369823208
32.7521,7.073575879249103
33.7291,6.241182511253119
34.5633,6.412751264736655
35.4642,6.3523806970219345
36.2706,6.232693490226666
37.1617,6.233118664871954
38.2062,6.29900763305887
38.2578,6.39454209270593
39.142,6.231502381622422
40.092,6.419813696543867
41.0262,6.3198028595233104
41.9366,6.280272594411228
42.7841,6.442240243132088
42.8356,6.36536192276854
43.7096,6.8060157340923695
44.6729,6.2282145716545845
45.5453,6.407279273401124
46.469,6.224946051519676
47.3674,6.221658968438719
48.3041,6.384806573441491
49.1915,6.2446400158286615
50.0627,6.231494644216132
50.9042,6.445478997243942
51.8678,6.290471634657353
52.8262,6.454672372229755
53.7508,6.2478867211791345
54.6517,6.283928871573151
55.5406,6.3065357904198995
56.4454,6.224933143654224
57.3478,6.251200684885274
58.2851,6.234685712555932
59.2017,6.277389244622648
60.1313,6.283894741994997
60.9876,6.277342272104827
61.8758,6.290226129408948
62.8628,6.260969891406979
63.7453,6.458886016390915
64.6841,6.234797422961845
65.6185,6.332734176123711
66.5409,6.287204765861731
67.4675,6.413625566245907
68.4146,6.264221060141919
69.3287,6.292341374491125
70.1852,6.257652300545881
71.1146,6.552748029719063
71.9853,6.6054637253494715
72.9509,6.332607087718377
73.9176,6.236905706366728
74.8201,6.280649915299521
75.7091,6.384806573441491
76.5342,6.685157573960092
77.6732,6.400164439800703
78.402,6.224365170829461
79.2898,6.251180110276132
80.1909,6.300243744167298
81.0926,6.237913301735266
82.0315,6.33266300694063
82.887,6.310054834576861
83.8464,6.224933143654224
84.6954,6.309989382274879
85.6258,6.273525675767477
86.5178,6.316457186510772
87.3855,6.297003892367312
88.3566,6.306591920615265
89.4461,6.430128325903003
90.1733,6.257755077113662
91.0594,6.231516136987389
91.8355,6.273730759035798
92.7261,6.227715682663774
93.5758,6.267563267962121
94.4594,6.293507105733254
95.3843,6.29016475156624
96.2622,6.254216778774951
97.0649,6.273893111778513
98.0343,6.319446340566648
98.8688,6.306564706039076
99.7023,6.309718215315204
100.6233,6.234472597860214
101.4456,6.5978220768991305
102.7584,7.644141597312972
102.8121,3.959441145017487
103.6621,6.275736612246298
104.6788,6.2446400158286615
105.5023,6.2997159585192035
106.3929,6.234149474432025
106.4467,6.5519992964169225
107.3024,6.473570801586611
108.2317,6.257713966692314
108.2988,6.561685315134897
109.1234,6.390311333506242
109.9912,6.221397239858077
110.8652,6.770273054484427
110.9189,6.682212316654266
111.7818,6.28715700698719
112.6789,6.224860859108404
113.4713,6.25436587850106
114.3541,6.243764706900527
115.1708,6.244228121229406
116.0711,6.2315083995983835
117.2864,6.403261011383887
117.3377,4.152251715797678
118.2373,6.300469588324869
118.2877,6.149130648067429
119.1525,6.2643032036641015
119.9567,6.254119090791062
120.8236,6.2282300537707265
121.6626,6.221426512685076
122.5484,6.3296075796202995
123.3707,6.234763050744834
124.2248,6.244557639110893
125.1551,6.52315960187181
125.9241,6.348758034140861
126.8375,6.2412683622075384
126.8914,6.574451410566898
127.7403,6.267578662514878
128.6025,6.257652300545881
129.4804,6.247860990601712
130.2805,6.241285532254934
131.079,6.3065357904198995
131.8877,6.251146676389743
132.7136,6.692389493471849
133.597,6.23479914156767
134.4625,6.322722886196005
135.2875,6.267578662514878
136.0639,6.234737271456307
136.8987,6.238050727386304
137.71,6.224877209258376
138.5341,6.224877209258376
139.3791,6.287179180796475
140.1624,6.4037558018630225
140.975,6.277389244622648
