Experiment: prion_toggle_expt_20190325 vial 15, Mon Mar 25 17:44:20 2019
0,0
15.7804,5.799149970623684
18.5286,5.85769634354131
22.9472,5.802329913293173
28.5194,5.85516993840137
28.6049,5.71936017741162
38.1084,5.779918938049954
62.3752,5.769623812296518
71.2234,6.052754063624209
74.9271,5.875790318143416
78.1105,5.788080239362236
80.3105,5.7686203708115205
82.4937,5.76738354123778
84.516,5.814519879126136
86.2882,5.820271577568281
88.2715,5.762723411322705
90.816,5.7727993510690805
93.3327,5.794112352651583
