Experiment: prion_toggle_expt_20190418 vial 5, Thu Apr 18 11:34:04 2019
0,0
9.0364,5.757016309416252
10.9036,5.815550195014146
13.2433,5.779197310288389
15.8001,5.782109983530495
18.3042,5.804808192368062
21.466,5.774560534112368
24.937,5.783279433112558
28.5269,5.768183281526421
31.826,5.761710977199645
34.7822,5.761650950197996
36.6965,5.763857111514252
38.6132,5.772493216950554
40.291,5.770329951405548
41.7323,5.75735460099842
43.0737,5.798335224719309
44.3635,5.834825760560237
45.6316,5.819843256122084
46.818,5.843154932963447
48.0483,5.817718897186687
49.1625,5.768183281526421
50.203,5.832756409629378
51.3791,5.824112294910401
52.4919,5.7832815714524655
53.6075,5.806957662402697
54.6809,5.7595293875755535
55.7643,5.823954212852981
56.8374,5.839195124545227
57.9792,5.794034503781351
59.0986,5.778969985466803
60.2126,5.796202212495767
61.3237,5.841172827974306
62.4097,5.78111947798471
63.4883,5.796204957579947
64.592,5.800478380374395
65.6438,5.796075327607994
66.7096,5.776742918559437
67.7191,5.768131257231898
68.8468,5.787371783263522
69.9126,5.7746596104992385
70.9802,5.759550831228109
72.0216,5.785417470330963
73.093,5.755230758208903
74.1542,5.785346006479008
75.2303,5.796141210389937
76.3592,5.815468030879832
77.4145,5.781124977980179
78.4328,5.7595514439030815
79.4302,5.782866112139851
80.5237,5.793915518664666
81.5136,5.75738677474677
82.5819,5.903386948593244
83.6264,5.873405327006673
84.6624,5.7659062901092115
85.7208,5.76170822086727
86.7359,5.755214207498563
87.7525,5.765959858657946
88.7486,5.759503655118881
89.797,5.802658187106169
90.8404,5.796204957579947
91.8526,5.76363849521377
92.8803,5.793452375613562
93.8859,5.755229532231489
94.7914,5.781128644641834
95.7415,5.7725005577797734
96.6376,5.87984246069753
97.5738,5.791858926680199
98.5599,5.798298632766851
99.4415,5.796202212495767
100.4127,5.763863847498661
101.3349,5.791901649891288
102.2582,5.834898627753196
103.1627,5.789342140295922
103.2128,5.903278232501145
104.0766,5.757361035758165
105.0305,5.755229532231489
105.9682,5.817670219960695
106.886,5.772397785576016
107.7916,5.761706077052617
108.725,5.864766488375187
109.6416,5.7660039376599395
110.5211,5.791887917454801
111.4515,5.772501781250638
111.5016,6.018061871314257
111.5714,6.361794929178494
112.4322,5.7660137329617145
113.3545,5.774656858393426
114.321,5.789748123417684
115.2627,5.82406365460086
115.3128,6.160959315477114
115.3632,6.298029324723333
115.4324,6.549323488467188
116.2517,5.783077815716172
116.302,5.954427777465721
116.3544,6.390555721968064
117.2238,5.781122533538227
117.2767,5.9118767432370785
118.0878,5.770300886440821
119.01,5.817643751598136
119.9294,5.858188189688761
119.9881,5.958701275457207
