Experiment: prion_toggle_expt_20190418 vial 5, Thu Apr 18 11:34:04 2019
0.0038,0.003541659227070504
0.007,0.011225514260065239
0.0189,0.007897090094167503
0.0227,0.015029963926040057
0.025,0.009397222412622863
0.0288,0.024190973216517087
0.0311,0.008564290053112877
0.0349,0.018318217087906596
0.0372,0.008730971329961701
0.041,0.01684078641024822
0.0449,0.02044572893997465
0.0471,0.005220661596323506
0.051,0.013048116725733916
0.0532,0.007563204816977365
0.0571,0.01403987841730947
0.0593,0.010561341041685157
0.0632,0.0070620196560793325
0.0671,0.015359620942501984
0.0694,0.008730971329961701
0.0733,0.013048116725733916
0.0755,0.013378890556378309
0.0794,0.013213526988473667
0.0816,0.009896413768335499
0.0855,0.002363485650121344
0.0893,0.013213526988473667
0.0916,0.009563666814606187
0.0955,0.011888935166804337
0.0977,0.01700512945650301
0.1016,0.018154241960288697
0.1038,0.00906419162119887
0.1077,0.00016913729101153407
0.1116,0.007730171253429674
0.1138,0.008730971329961701
0.1177,0.012054673048510267
0.1199,0.010727454970732353
0.1237,0.014370092877067364
0.126,0.009563666814606187
0.1299,0.00906419162119887
0.1338,0.016018379024750118
0.136,0.08166561726387522
0.1399,0.07530218015834222
0.1421,0.07604565915848838
0.146,0.07142087377467643
0.1482,0.07812241768278261
0.152,0.08416254483408503
0.156,0.06751379091718279
0.1582,0.07276730222483918
0.1621,0.07082147060860988
0.1643,0.05992641900592677
0.1682,0.07246836207289942
0.1705,0.058703300283623694
0.1743,0.06282116640138424
0.1782,0.06266916611607964
0.1804,0.06615526950285844
0.1843,0.07022145608907726
0.1865,0.06524784191165134
0.1904,0.07276730222483918
0.1927,0.07559968447879273
0.1965,0.06388406950299119
0.2005,0.069921219172842
0.2027,0.0657017307395269
0.2066,0.07157062919148771
0.2088,0.06856825342888673
0.2127,0.0694705762779737
0.2149,0.07530218015834222
0.2188,0.06449058110775141
0.2227,0.07082147060860988
0.2249,0.06312504912949102
0.2288,0.07201966686033634
0.231,0.0681165723886843
0.2349,0.06962082893903743
0.2371,0.0649450546063357
0.241,0.06433901184847235
0.2449,0.07127108022785977
0.2471,0.06524784191165134
0.251,0.06977104323064376
0.2532,0.06691039101868945
0.2571,0.07157062919148771
0.2593,0.06675944426267799
0.2632,0.06615526950285844
0.2671,0.07634278797074456
0.2693,0.06781525887526163
0.2732,0.07022145608907726
0.2754,0.07246836207289942
0.2793,0.07336472726366505
0.2815,0.06312504912949102
0.2854,0.06388406950299119
0.2893,0.07112124853116475
0.2916,0.07321542786283253
0.2955,0.07306609056921376
0.2977,0.06312504912949102
0.3015,0.06796593492743863
0.3038,0.06886918153785304
0.3076,0.07231883501975744
0.3116,0.06600412877705031
0.3138,0.06388406950299119
0.3177,0.0700713567856508
0.3199,0.06479360246610888
0.3238,0.07752980544739208
0.326,0.06388406950299119
0.3299,0.06266916611607964
0.3338,0.07930585529433953
0.336,0.06449058110775141
0.3399,0.07752980544739208
0.3421,0.06084209066736834
0.346,0.06977104323064376
0.3483,0.06856825342888673
0.3521,0.06479360246610888
0.356,0.07261785113467845
0.3583,0.06327693161380665
